n_sequences,	cluster_id,	query_id,	%_identity,	alignment_length,	mismatches,	gap_opens,	evalue,	bit_score,	subject_titles
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-10-10888.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-10-10888.fasta	99.338	151	1	0	1.57e-72	274	JQ609338.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	JQ609338.1
consensus_medaka-10-10888.fasta	99.338	151	1	0	1.57e-72	274	GQ260088.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	GQ260088.1
consensus_medaka-10-10888.fasta	98.675	151	2	0	7.29e-71	268	GQ260091.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__solium	GQ260091.1
consensus_medaka-10-10888.fasta	98.013	151	3	0	3.39e-69	263	GQ260089.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__multiceps	GQ260089.1
consensus_medaka-10-10888.fasta	92.778	180	13	0	1.22e-68	261	EU660530.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660530.1
consensus_medaka-10-10888.fasta	92.778	180	13	0	1.22e-68	261	EU660529.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Acanthobothrium;	s__brevissime	EU660529.1
consensus_medaka-10-10888.fasta	100.000	141	0	0	1.22e-68	261	DQ768166.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	DQ768166.1
consensus_medaka-10-10888.fasta	93.413	167	9	2	3.41e-64	246	AF267295.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Proteocephalidae;	g__Thaumasioscolex;	s__didelphidis	AF267295.1
consensus_medaka-10-10888.fasta	95.364	151	7	0	1.59e-62	241	JQ609339.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__pisiformis	JQ609339.1
consensus_medaka-10-10888.fasta	100.000	130	0	0	1.59e-62	241	AB731617.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__asiatica	AB731617.1
consensus_medaka-10-10888.fasta	92.262	168	11	2	2.05e-61	237	AF267296.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Monticelliidae;	g__Monticellia;	s__sp.	KBD1	AF267296.1
consensus_medaka-10-10888.fasta	90.055	181	18	0	7.39e-61	235	HQ269832.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Rhinebothriidea;	f__Rhinebothriidea;	g__Rhinebothriidea;	s__sp.	type	1	(southern)	HQ269832.1
consensus_medaka-10-10888.fasta	90.055	181	18	0	7.39e-61	235	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-10-10888.fasta	93.125	160	11	0	7.39e-61	235	AF286994.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Tetraphyllidea;	f__Onchobothriidae;	g__Phoreiobothrium;	s__sp.	OLBM1	AF286994.1
consensus_medaka-10-10888.fasta	90.110	182	15	3	2.66e-60	233	AJ578152.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Anoplocephalidae;	g__Anoplocephala;	s__perfoliata	AJ578152.1
consensus_medaka-10-10888.fasta	90.110	182	15	3	2.66e-60	233	AJ578151.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Anoplocephalidae;	g__Anoplocephala;	s__perfoliata	AJ578151.1
consensus_medaka-10-10888.fasta	89.503	181	19	0	3.44e-59	230	HQ269833.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Rhinebothriidea;	f__Rhinebothriidea;	g__Rhinebothriidea;	s__sp.	type	2	(northern)	HQ269833.1
consensus_medaka-10-10888.fasta	91.617	167	12	2	3.44e-59	230	AF267293.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Proteocephalidea;	f__Proteocephalidae;	g__Gangesia;	s__parasiluri	AF267293.1
consensus_medaka-10-10888.fasta	91.875	160	13	0	3.44e-59	230	AF124474.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Nippotaeniidea;	f__Nippotaeniidae;	g__Amurotaenia;	s__decidua	AF124474.1
consensus_medaka-10-10888.fasta	99.213	127	1	0	3.44e-59	230	AB731616.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Cyclophyllidea;	f__Taeniidae;	g__Taenia;	s__saginata	AB731616.1
#	BLASTN	2.9.0+
#	Query:	consensus_medaka-10-10902.fasta
#	Database:	/mnt/d/parasite_18S/ncbi-refseqs_18S_v220513-derep-uniq.fasta
#	Fields:	query	id,	%	identity,	alignment	length,	mismatches,	gap	opens,	evalue,	bit	score,	subject	titles,	subject	ids
#	20	hits	found
consensus_medaka-10-10902.fasta	98.352	182	3	0	1.98e-86	320	D64072.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Spirometra;	s__erinaceieuropaei	D64072.1
consensus_medaka-10-10902.fasta	97.802	182	4	0	9.23e-85	315	AB374225.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB374225.1
consensus_medaka-10-10902.fasta	97.802	182	4	0	9.23e-85	315	AB302388.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__nihonkaiensis	AB302388.1
consensus_medaka-10-10902.fasta	97.802	182	4	0	9.23e-85	315	AB302387.1	k__Metazoa;	p__Platyhelminthes;	c__Cestoda;	o__Diphyllobothriidea;	f__Diphyllobothriidae;	g__Dibothriocephalus;	s__latus	AB302387.1
