barcode01_concatenated_racon-11430-8,d__Bacteria;,98.631,1461,10,5,0.0,2532,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-11430-8,d__Bacteria;,98.614,1443,10,5,0.0,2499,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode01_concatenated_racon-11430-8,d__Bacteria;,98.120,1436,10,7,0.0,2452,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-11430-8,d__Bacteria;,98.042,1430,17,6,0.0,2437,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-11430-8,d__Bacteria;,96.851,1461,34,7,0.0,2407,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-11430-8,d__Bacteria;,98.255,1375,14,5,0.0,2359,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.756,1461,48,9,0.0,2328,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.756,1461,48,9,0.0,2328,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.688,1461,49,9,0.0,2324,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.688,1461,49,9,0.0,2324,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.619,1461,50,9,0.0,2319,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.619,1461,50,9,0.0,2319,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.619,1461,50,9,0.0,2319,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.619,1461,50,9,0.0,2319,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.551,1461,52,8,0.0,2318,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.352,1463,56,6,0.0,2316,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.551,1461,51,9,0.0,2315,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.551,1461,51,9,0.0,2315,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.551,1461,51,9,0.0,2315,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.414,1461,55,7,0.0,2313,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.483,1461,52,9,0.0,2310,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.483,1461,52,9,0.0,2310,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_honei
barcode01_concatenated_racon-11430-8,d__Bacteria;,95.483,1461,52,9,0.0,2310,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_heilongjiangensis
barcode01_concatenated_racon-115-106,d__Bacteria;,99.181,1465,9,3,0.0,2578,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-115-106,d__Bacteria;,99.100,1444,10,3,0.0,2535,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode01_concatenated_racon-115-106,d__Bacteria;,98.673,1432,9,6,0.0,2480,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-115-106,d__Bacteria;,98.597,1426,16,4,0.0,2469,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-115-106,d__Bacteria;,97.404,1464,33,5,0.0,2452,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-115-106,d__Bacteria;,98.833,1371,13,3,0.0,2390,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
